Time,Energy,Demand,IndoorTemp,OutdoorTemp,Humidity,Occupancy,CoolingSP,HeatingSP,Lighting,Fan,Reason,Savings,Confidence,PMV,Timestamp,Cycle,LightingKW,CarbonIntensity,ExpectedSavings,SimTimeSec,LLMTimeSec,TotalTimeSec
17:19:26,10.5,2.6,22.0,36.0,68.0,13,24.0,20.0,80,60,,,,0.16,,,,,,,,
17:20:19,10.5,2.6,22.9,31.1,64.0,9,24.0,20.0,80,60,,,,-0.05,,,,,,,,
17:20:53,10.5,2.6,24.0,32.8,47.0,9,24.0,20.0,80,60,,,,-0.35,,,,,,,,
17:21:34,10.5,2.6,25.4,36.5,60.0,58,23.0,21.0,70,50,,,,0.42,,,,,,,,
17:22:01,10.5,2.6,26.6,32.2,51.0,25,24.0,20.0,80,60,,,,0.84,,,,,,,,
17:22:17,10.5,2.6,27.3,33.0,62.0,58,24.0,20.0,70,50,,,,0.99,,,,,,,,
17:23:15,10.5,2.6,25.9,33.0,68.0,45,23.0,21.0,75,55,,,,0.97,,,,,,,,
17:23:34,10.5,2.6,24.9,37.6,64.0,52,24.0,20.0,80,60,,,,-0.27,,,,,,,,
17:23:49,10.5,2.6,25.7,33.2,66.0,28,24.0,20.0,80,60,,,,0.6,,,,,,,,
17:25:01,10.5,2.6,27.7,36.2,60.0,58,24.0,20.0,80,60,,,,-0.07,,,,,,,,
17:59:11,10.5,2.6,26.9,34.0,46.0,32,24.0,20.0,80,60,,,,0.25,,,,,,,,
18:09:04,10.5,2.6,23.4,36.1,56.0,25,23.0,22.0,70,50,,,,0.38,,,,,,,,
18:36:58,10.5,2.6,26.9,36.3,62.0,27,25.0,20.0,75,50,,,,0.07,,,,,,,,
18:43:16,10.5,2.6,27.9,33.4,47.0,42,24.0,20.0,80,60,,,,0.02,,,,,,,,
18:43:22,10.5,2.6,24.2,34.3,50.0,33,22.0,23.0,70,50,,,,-0.06,,,,,,,,
18:58:23,10.5,2.6,26.7,34.8,49.0,44,24.0,20.0,75,50,,,,0.14,,,,,,,,
18:58:30,10.5,2.6,24.3,35.3,55.0,5,23.0,20.0,70,50,,,,0.84,,,,,,,,
18:59:56,10.5,2.6,26.3,37.4,68.0,37,24.0,20.0,75,55,,,,0.38,,,,,,,,
19:04:06,10.5,2.6,27.2,32.6,63.0,26,25.0,22.0,70,50,,,,0.83,,,,,,,,
19:04:26,10.5,2.6,24.8,33.7,67.0,15,24.0,20.0,80,60,,,,0.65,,,,,,,,
,10.5,2.6,25.1,35.9,70.0,39,24.5,20.0,60,50,"Occupancy is high (39 people) but outdoor temperature is extreme (35.9°C). Raising cooling setpoint from 25.1°C to 24.5°C and reducing fan speed will reduce HVAC load. PMV of -0.43 is within comfort range, so comfort will be maintained. Expected saving: 8.2%.",,92.0,-0.43,2026-07-25 19:10:13,1.0,3.3,0.448,8.2,,,
,10.5,2.6,25.1,39.8,47.0,4,23.0,18.0,80,45,"Outdoor temperature is extreme (39.8°C), raising cooling setpoint to 23°C and reducing fan speed will help reduce HVAC load while maintaining comfort. Given PMV of 0.76, which is within the acceptable range, we can prioritize energy saving over comfort slightly. Expected saving: 9.1%.",,90.5,0.76,2026-07-25 19:12:45,1.0,3.2,0.36,9.1,,,
